City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,godfrey,38.9556,-90.1868,12.12,79,0,4.63,US,1677640076
269,yamada,39.4667,141.95,11.34,56,61,6.04,JP,1677640306
270,mezen,65.8522,44.24,-11.64,96,100,3.43,RU,1677640307
271,sibu,2.3,111.8167,21.39,98,100,1.1,MY,1677640307
272,mendoza,-32.8908,-68.8272,26.23,46,33,1.63,AR,1677640308
273,erenhot,43.6475,111.9767,-3.89,29,0,5.24,CN,1677640308
274,yacuiba,-22.038,-63.6797,25.14,67,100,1.03,BO,1677640309
275,vanavara,60.34,102.2797,-5.27,96,100,1.52,RU,1677640309
276,sassandra,4.95,-6.0833,25.36,93,66,2.25,CI,1677640310
277,stephenville,32.2207,-98.2023,20.64,33,40,2.57,US,1677640310
278,maniitsoq,65.4167,-52.9,-8.88,92,100,2.74,GL,1677640311
279,tuim,54.3417,89.9261,-0.04,61,100,5.33,RU,1677640311
280,belyy yar,53.6039,91.3903,-0.06,75,0,4.0,RU,1677640312
281,miandrivazo,-19.5167,45.4667,23.97,86,50,1.45,MG,1677640312
282,cockburn town,21.4612,-71.1419,24.28,72,5,4.61,TC,1677640314
283,san patricio,28.017,-97.5169,23.92,90,50,4.96,US,1677640314
284,nizhneangarsk,55.7833,109.55,-14.88,90,100,1.33,RU,1677640315
285,skole,49.0372,23.5135,-3.62,97,43,0.9,UA,1677640315
286,puerto madryn,-42.7692,-65.0385,24.92,30,0,6.42,AR,1677640316
287,altamont,42.2068,-121.7372,-3.09,78,100,3.6,US,1677640317
288,saldanha,-33.0117,17.9442,17.4,92,21,7.74,ZA,1677640317
289,devonport,-41.1667,146.35,20.56,49,4,5.61,AU,1677640318
290,kattivakkam,13.2167,80.3167,29.05,65,5,3.96,IN,1677640318
291,boddam,57.4667,-1.7833,3.57,78,100,7.74,GB,1677640319
292,karratha,-20.7377,116.8463,35.14,43,58,3.01,AU,1677640319
293,isangel,-19.55,169.2667,26.1,94,100,16.7,VU,1677640068
294,paralimni,35.0375,33.9833,13.97,73,2,0.89,CY,1677640320
295,athabasca,54.7169,-113.2854,-11.47,93,100,2.69,CA,1677640320
296,adrar,20.5022,-10.0711,16.7,43,0,3.67,MR,1677640321
297,altay,47.8667,88.1167,-6.28,63,0,1.94,CN,1677640321
298,puri,19.8,85.85,24.29,56,0,2.89,IN,1677640322
299,bayeux,-7.125,-34.9322,26.35,89,20,2.06,BR,1677640323
300,salalah,17.0151,54.0924,20.05,77,0,2.06,OM,1677640323
301,lebu,-37.6167,-73.65,15.28,84,0,6.59,CL,1677640324
302,praya,14.9215,-23.5087,20.59,81,9,5.79,CV,1677640325
303,mantang,11.87,125.4283,26.17,91,68,5.74,PH,1677640325
304,poya,-21.35,165.15,29.66,73,100,3.91,NC,1677640326
305,marzuq,14.4,46.4667,15.71,36,69,2.92,YE,1677640327
306,itaiba,-8.9475,-37.4228,22.45,81,8,2.94,BR,1677640327
307,broken hill,-31.95,141.4333,24.26,28,0,7.3,AU,1677640328
308,acari,-15.4311,-74.6158,23.92,83,100,1.62,PE,1677640328
309,lagos,6.5833,3.75,26.8,88,100,2.56,NG,1677640324
310,tilichiki,60.4667,166.1,-24.24,87,11,2.33,RU,1677640329
311,marrakesh,31.6315,-8.0083,13.04,88,75,1.03,MA,1677640330
312,alofi,-19.0595,-169.9187,29.94,62,40,2.06,NU,1677640330
313,clyde river,70.4692,-68.5914,-32.64,86,7,1.81,CA,1677640331
314,boli,45.7667,130.5167,-1.53,60,100,1.58,CN,1677640332
315,ballitoville,-29.539,31.2144,23.47,90,0,1.94,ZA,1677640332
316,ilulissat,69.2167,-51.1,-10.99,85,75,0.0,GL,1677640333
317,moranbah,-22.0016,148.0466,32.49,30,2,3.06,AU,1677640269
318,eureka,40.8021,-124.1637,4.0,91,99,2.24,US,1677640062
319,mossendjo,-2.9506,12.7261,20.34,99,100,0.21,CG,1677640335
320,wuchang,44.9143,127.15,-3.85,90,100,7.25,CN,1677640335
321,chuy,-33.6971,-53.4616,22.05,73,79,4.3,UY,1677640336
322,maceio,-9.6658,-35.7353,24.69,94,40,1.03,BR,1677640252
323,kaele,10.1092,14.4508,26.05,14,99,3.9,CM,1677640337
324,leeton,-34.5667,146.4,26.05,27,0,4.9,AU,1677640338
325,petropavlovsk-kamchatskiy,53.0452,158.6483,-4.67,54,75,2.0,RU,1677640338
326,kongolo,-5.3833,27.0,18.21,98,96,0.88,CD,1677640339
327,padang,-0.9492,100.3543,27.03,77,100,0.61,ID,1677640340
328,graham,47.0529,-122.2943,2.87,85,0,0.89,US,1677640106
329,ponta do sol,32.6667,-17.1,17.06,83,94,1.1,PT,1677640341
330,vila,42.0304,-8.1588,-2.51,77,11,2.43,PT,1677640342
331,dingle,10.9995,122.6711,28.47,74,65,6.17,PH,1677640342
332,margate,51.3813,1.3862,4.83,68,6,2.24,GB,1677640343
333,sychevka,55.8252,34.2736,-7.79,91,96,5.46,RU,1677640344
334,zaragoza,41.6561,-0.8773,2.25,68,0,8.75,ES,1677640147
335,bethel,41.3712,-73.414,1.17,80,75,0.0,US,1677640344
336,lazaro cardenas,17.9583,-102.2,23.8,74,6,0.55,MX,1677640345
337,cabra,37.4725,-4.4421,2.15,46,0,0.93,ES,1677640219
338,khash,28.2211,61.2158,10.47,73,47,0.31,IR,1677640346
339,sarankhola,22.3082,89.7897,27.33,37,0,1.96,BD,1677640347
340,hofn,64.2539,-15.2082,3.06,56,100,5.11,IS,1677640347
341,diego de almagro,-26.3667,-70.05,18.19,62,0,0.89,CL,1677640348
342,manono,-7.3,27.4167,18.28,98,97,0.53,CD,1677640348
343,sao filipe,14.8961,-24.4956,21.69,73,10,3.91,CV,1677640349
344,san carlos de bariloche,-41.1456,-71.3082,14.86,58,40,5.66,AR,1677640349
345,norman wells,65.282,-126.8329,-25.98,76,0,2.06,CA,1677640350
346,havelock,34.8791,-76.9013,16.07,85,23,1.34,US,1677640350
347,sangar,63.9242,127.4739,-27.69,88,14,1.45,RU,1677640351
348,jalu,29.0331,21.5482,18.65,18,0,4.4,LY,1677640351
349,korla,41.7597,86.1469,3.25,43,10,1.34,CN,1677640352
350,wajima,37.4,136.9,12.35,68,29,9.88,JP,1677640353
351,astana,51.1801,71.446,-2.03,80,40,10.0,KZ,1677640142
352,kawalu,-7.3817,108.2082,28.64,63,95,1.05,ID,1677640353
353,shingu,33.7333,135.9833,17.68,47,75,4.35,JP,1677640354
354,guaymas,27.9333,-110.9,19.7,41,61,3.59,MX,1677640354
355,inhambane,-23.865,35.3833,24.52,94,100,6.7,MZ,1677640355
356,berdigestyakh,62.0989,126.6992,-20.11,94,100,1.72,RU,1677640355
357,namibe,-15.1961,12.1522,22.87,85,98,2.59,AO,1677640356
358,gamba,-2.65,10.0,24.31,90,100,2.83,GA,1677640356
359,sohag,26.557,31.6948,17.48,20,0,1.29,EG,1677640357
360,gizo,-8.103,156.8419,27.45,84,100,10.85,SB,1677640358
361,vila franca do campo,37.7167,-25.4333,17.23,94,97,8.55,PT,1677640358
362,husavik,66.0449,-17.3389,0.27,75,13,5.45,IS,1677640359
363,pandan,14.0453,124.1694,26.03,86,74,7.12,PH,1677640359
364,alihe,50.5667,123.7167,-7.28,62,94,2.54,CN,1677640360
365,senno,59.5336,33.9167,-6.52,95,100,4.49,RU,1677640360
366,den helder,52.9599,4.7593,1.66,93,75,2.24,NL,1677640204
367,oktyabrskiy,54.4815,53.471,-7.55,94,100,4.8,RU,1677640361
368,carberry,49.8689,-99.3602,-13.78,94,100,3.19,CA,1677640362
369,marsa matruh,31.3525,27.2453,18.31,41,4,3.22,EG,1677640363
370,villa altagracia,18.673,-70.171,18.14,86,7,1.41,DO,1677640364
371,muli,2.9167,73.5667,27.4,77,84,7.08,MV,1677640364
372,tabou,4.423,-7.3528,25.84,88,35,2.31,CI,1677640365
373,lamu,-2.2717,40.902,23.12,87,30,2.83,KE,1677640366
374,anadyr,64.75,177.4833,-26.67,75,20,4.0,RU,1677640366
375,talakan,50.3167,130.3667,-9.99,73,17,3.2,RU,1677640366
376,chara,56.9064,118.2631,-18.12,71,8,1.2,RU,1677640367
377,rio gallegos,-51.6226,-69.2181,8.03,53,0,4.63,AR,1677640367
378,tessalit,20.1986,1.0114,18.71,18,0,3.09,ML,1677640368
379,asfi,32.2994,-9.2372,15.2,73,100,2.49,MA,1677640368
380,ondangwa,-17.9167,15.95,21.57,70,57,4.89,NA,1677640369
381,kruisfontein,-34.0033,24.7314,19.94,91,100,2.56,ZA,1677640369
382,lata,40.1629,-8.3327,2.26,65,0,1.8,PT,1677640370
